x,y,z,w
0.2339995668427454,0.35665194386726645,-0.09276146778398289,0.8996882258580852
0.2381209516900491,0.3612635838774913,-0.09596387682720253,0.8964251054463556
0.23801112450448636,0.3671107964586272,-0.09774940322159494,0.8938822192579089
0.2356264795379037,0.37398272037478353,-0.0988402124373674,0.8915423149839757
0.23054922491308186,0.38516298461166204,-0.10000193958714498,0.8879730526630991
0.22437944904908347,0.40337262013573705,-0.10271848433260192,0.8811318318762937
0.22051596576043675,0.4317306366542553,-0.10971642884072243,0.8677232689407908
0.2239964133204075,0.45747294246601805,-0.12025789455321985,0.8521045431921503
0.25389471237600547,0.012146596039255473,-0.0031887043836209025,0.967150333400407
0.2519729474536364,0.031952433224601964,-0.008324433159134453,0.9671708119950341
0.2472755305320229,0.044823163247375196,-0.01145196499236217,0.9678401461679607
0.24982009813801423,0.05870015024271343,-0.015174456916305337,0.9663922323700098
0.25550436079956235,0.06530226116593425,-0.017300121138495293,0.9644448362180268
0.25667344136693043,0.07235684538668748,-0.019273778119048873,0.9635931469762338
0.24904465354918082,0.07171887299971963,-0.018496448356246212,0.965655759156659
0.23597098066585087,0.0657745546212744,-0.016010828256645432,0.9693993282577134
0.2374064019060499,0.05473341629508085,-0.013399054204689216,0.9697746742522783
0.24524590922244943,0.04216634691054328,-0.010677633930998793,0.968484605624431
0.2505351062635672,0.02517513131614889,-0.006517386598302955,0.9677581810373117
0.21408403248873178,0.45927435238574654,-0.11507936813005314,0.8543955964919322
0.210940473755425,0.4209454016042528,-0.10131944218988224,0.8763808852516138
0.21945393635621838,0.3781476898872421,-0.09276733957046154,0.8945605150909143
0.22851513378505406,0.3399536843396256,-0.0855332587485765,0.9082380677900274
0.2396879975127535,0.30497103699182715,-0.0796046036467443,0.9182621834327606
0.24722677473417481,0.2773262279777773,-0.07408455763193358,0.9254623511794721
0.25503147958901795,0.25666697885989576,-0.07041677588362319,0.92958188668655
0.25698014679850667,0.23947904032027306,-0.06589338971947466,0.9339534541881498
0.25654036831082694,0.22013291614068142,-0.060128249000422455,0.939208779947509
0.2558329218843158,0.20831332417866477,-0.05655586284356824,0.9423144429688997
0.2599243625891529,0.196980500060514,-0.05425075032155689,0.9437663187559092
0.2651910634934669,0.18262964747044994,-0.051231301449936976,0.94535467707087
0.26672788029397515,0.17215990576220583,-0.04848826306246008,0.9470301436950236
0.26766099108734975,0.16329190638659513,-0.04608210516733887,0.9484565286517435
0.2680845973497597,0.16183254197055194,-0.04573544023646002,0.9486037879586735
0.2690539320426077,0.1640647728307016,-0.04656823868759068,0.9479051276968375
0.26933931090358854,0.16670734622026664,-0.04739766903121728,0.9473217285001877
0.2681885210627327,0.17094095687724398,-0.04841821778830386,0.9468420050981478
0.2669675608161875,0.17709747721965383,-0.049979471137975975,0.9459740258057077
0.2652711172834519,0.18677644794612694,-0.0524603500103841,0.9444541833803295
0.26454112501181787,0.19292448634983944,-0.05410245934189352,0.9433297724747647
